       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
1705       194     1     90                0                0      4.0           4.0       70.0      14.0000     5.00  1.071400e+11
1706       195     0     25                1                0      3.0           3.0       23.0       8.0000     4.60  1.087000e+11
1733       196     2      2                0                0      4.0           4.0       34.0      10.0000     3.50  5.824000e+10
1738        67     5     51                1                0      5.0           6.0       38.0       9.0000     4.00  7.368000e+10
1740       197     3     32                0                0      5.0           3.0       33.0      13.0000    35.00  1.075800e+11
1754       198     0     73                1                0      5.0           2.0       30.0       5.0000     5.80  9.500000e+10
1769       199     6     43                1                0      5.0           4.0       36.0       8.0000     5.00  1.694400e+11
1802       200     5     50                0                0      4.0           4.0       58.0      10.0000     6.00  5.517000e+10
1822       201    11     91                0                0      6.0           5.0       51.0      10.2000     5.00  1.764700e+11
1827       202     7     57                0                0      5.0           4.0       47.0      14.0000     3.30  6.596000e+10
1845       203     0      0                0                0      4.0           4.0       45.0       4.0000     4.00  7.556000e+10
1853       204     2      2                1                0      4.0           4.0       40.0      10.0000     4.00  9.275000e+10
1864       205    12     92                0                0      3.0           3.0       32.0       8.0000     4.00  4.156000e+10
1867       206     2      2                3                0      5.0           4.0       57.0      13.0000     4.00  1.140400e+11
1897        68     7     52                0                0      5.0           3.0       35.0       7.0000     4.80  7.714000e+10
1903       207     9     21                0                0      4.0           4.0       52.0      13.0000     3.60  7.596000e+10
1919       208     9     93                1                0      3.0           3.0       51.0      13.0000    45.00  4.314000e+10
1921       209     2     94                0                0      4.0           4.0       38.0      10.0000     3.40  7.632000e+10
1933       210     6     33                0                0      4.0           3.0       25.0       6.0000     5.00  9.800000e+10
1961       211     2     23                0                0      4.0           3.0       34.0       9.0000     4.00  7.353000e+10
1967       152     2     18                3                0      5.0           4.0       50.0      11.0000    45.00  1.360000e+11
1994       212     3     42                0                0      4.0           3.0       33.0       8.0000     4.00  7.273000e+10
2010       213     1     86                0                0      4.0           4.0       40.0      35.0000     6.00  6.875000e+10
2028       214     5     95                0                0      5.0           3.0       40.0      10.0000     4.00  9.125000e+10
2041       215     2      2                3                0      5.0           4.0       55.0      12.0000    45.00  1.363600e+11
2063       216     0     87                1                0      5.0           4.0       50.0      10.0000     5.00  9.300000e+10
2101       217     3     42                0                0      4.0           4.0       34.0       6.0900     5.58  7.735000e+10
2117       218     0      0                0                0      5.0           3.0       72.0       4.0000     4.00  5.347000e+10
2127       219    11     91                1                0      6.0           4.0       50.0      10.0000     5.00  2.800000e+11
2165       220     6     24                0                0      5.0           3.0       35.0       9.5000     3.80  9.429000e+10
2171       221     8     54                0                0      5.0           4.0       60.0      13.0000     4.00  1.150000e+11
2186       222     6     24                0                0      3.0           4.0       60.0      15.0000     4.00  4.167000e+10
2213       223     2     34                0                0      3.0           3.0       33.0      10.0000     3.30  8.182000e+10
2222       224    11     47                0                0      5.0           3.0       35.0       9.0000     4.00  9.143000e+10
2228       225     0     73                0                0      5.0           5.0       50.0      10.0000     5.00  8.700000e+10
2231       226    12     44                0                0      4.0           3.0       33.0       8.0000     4.00  4.788000e+10
2235       227    10     96                1                0      4.0           4.0       24.0       8.0000     4.00  1.125000e+11
2244       228     0     11                0                0      5.0           4.0       35.0      10.0000     3.00  1.028600e+11
2248       229     4     97                1                0      4.0           4.0       30.0      10.0000     3.00  7.667000e+10
2254       230     7     48                0                0      4.0           4.0       42.0      12.0000     3.50  6.786000e+10
2288       181     0     87                0                0      5.0           3.0       29.0       9.0000     3.50  1.000000e+11
2295        71     5     50                0                0      5.0           4.0       35.0      10.0000     3.50  8.286000e+10
2310       231     7     48                0                1      2.0           2.0       38.0       9.5000     4.00  3.421000e+10
2320       232     6      8                1                0      8.0          10.0       55.0       9.0000     6.00  9.091000e+10
2333       233     6     98                0                0      3.0           3.0       40.0      10.0000     3.80  8.375000e+10
2385       234     1     31                0                0      5.0           4.0       41.0       6.0000     7.00  6.341000e+10
2392       235     6     46                0                0      5.0           5.0       44.0      11.0000     4.00  9.545000e+10
2395       236     1     99                1                0      4.0           5.0       42.0      12.0000    34.00  6.429000e+10
2399       161     1     56                1                0      3.0           4.0       86.0      11.0000     8.00  3.605000e+10
2401        23     9     21                0                0      5.0           4.0       37.0      11.0000     3.40  7.027000e+10
2402       237     1     56                0                0      4.0           4.0       48.0      12.0000     4.00  8.125000e+10
2408       238     2     69                0                0      5.0           3.0       35.0      10.0000     3.50  8.571000e+10
2414        71     5     50                0                0      5.0           4.0       35.0       9.0000     4.00  8.429000e+10
2419       139     7     80                0                0      5.0           3.0       36.0      11.5000     3.40  7.083000e+10
2437       161     1     56                3                0      5.0           3.0       32.0       9.0000     3.50  8.438000e+10
2453       239     5     95                0                0      7.0           7.0       50.0      10.0000     5.00  1.840000e+11
2456       240     7    100                0                0      5.0           3.0       35.0      10.0000     3.50  9.714000e+10
2473       241     2     23                3                0      3.0           4.0       45.0      12.0000     4.00  1.222200e+11
2476       242     2    101                1                0      2.0           2.0       30.0       6.0000     5.00  9.833000e+10
2477       243     7     59                0                0      4.0           3.0       42.0       7.0000     8.00  3.929000e+10
2502       244     7    102                0                0      5.0           6.0       60.0      12.0000     5.00  1.000000e+11
2506       245     6     89                0                0      4.0           3.0       25.0       5.0000     5.00  1.000000e+11
2511       246     5     51                1                0      6.0           4.0       45.0       9.0000     5.00  1.222200e+11
2513       187     2     69                0                0      4.0           3.0       30.0       7.0000     4.00  7.333000e+10
2532       247     2    103                0                0      4.0           3.0       31.0       9.0000     3.50  4.774000e+10
2533       248     5    104                1                0      5.0           6.0       65.0      20.0000     4.00  8.308000e+10
2539       249     8     54                2                0      4.0           4.0      125.0      19.0000   500.00  1.176000e+11
2541       250     2     40                3                0      6.0           6.0       82.5      18.0000     5.00  1.000000e+11
2542       251    10    105                0                0      7.0           3.0       45.0      10.0000     4.50  1.777800e+11
2543       252    11     29                0                0      5.0           5.0       42.0      10.0000     4.30  8.095000e+10
2556       253    11     91                0                0      4.0           4.0       69.0      11.5000     6.50  1.246400e+11
2569       254     1     56                0                0      4.0           4.0       50.0      13.0000     3.60  7.800000e+10
2576       255     0     37                1                0      4.0           3.0       52.0      14.0000     4.00  1.250000e+11
2587       256     4    106                0                0      4.0           3.0       31.0       7.0000     4.00  7.097000e+10
2588       257     2     39                1                0      7.0           4.0       86.0      12.5000     7.00  9.651000e+10
2596       224    11     47                0                0      5.0           5.0       40.0      10.0000     4.00  7.500000e+10
2599       258     4      4                0                0      4.0           3.0       39.0      13.0000     3.00  1.102600e+11
2601       259     9     22                0                0      2.0           2.0       57.0      12.0000     5.00  8.333000e+10
2622       260     1     86                0                0      5.0           3.0       30.0       8.0000     4.00  5.833000e+10
2627       261     1     31                0                0     50.0           3.0       30.0       8.0000     4.00  7.500000e+10
2630       262     1      1                0                0      6.0           4.0       31.0       8.0000     4.00  1.016100e+11
2631       263     2     69                0                0      4.0           2.0       27.0       7.0000     4.00  7.778000e+10
2632       264     1     86                0                0      4.0           3.0       30.0       8.0000     4.00  5.833000e+10
2633       265     2     10                1                0      5.0           5.0       45.0      11.0000     4.00  1.022200e+11
2659       266     5     26                0                0      5.0           5.0       35.0       9.0000     4.00  8.571000e+10
2664       267    11     60                0                0      5.0           6.0       35.0       9.2000     3.80  1.171400e+11
2685       268     2    101                1                0      9.0           9.0       52.0      11.0000     5.00  1.250000e+11
2687       269     4      4                0                0      5.0           5.0       40.0      10.0000     4.00  4.500000e+10
2688       270     6     83                0                0      5.0           6.0       54.0       9.0000     6.00  8.704000e+10
2706       224    11     47                0                0      5.0           3.0       35.0       8.0000     4.20  9.143000e+10
2708       271     1    107                0                0      2.0           2.0       54.0       6.0000     9.00  4.259000e+10
2717       272     6     33                2                0      4.0           4.0      100.0      12.0000     8.85  1.620000e+11
2721       273     5     95                0                0      5.0           3.0       40.0      12.5000     3.20  9.625000e+10
2728       274     3     78                1                0      6.0          11.0       65.0      11.0000     7.00  1.076900e+11
2730        81     2      2                0                0      5.0           4.0       43.0      11.0000     4.00  8.953000e+10
2748        50     6     38                0                0      4.0           2.0       24.0       8.0000     3.00  9.583000e+10
2750        36    11     29                1                0      5.0           4.0       42.0       8.4000     5.00  1.047600e+11
2751       224    11     47                1                0      7.0           8.0       55.0      12.3000     4.50  2.363600e+11
2756       275     5      6                0                0      3.0           3.0       50.0       7.7000     6.80  7.300000e+10
2762       276     1      1                1                0      5.0           5.0      110.0      20.0000     5.50  1.427300e+11
2769       243     7     59                0                0      1.0           4.0       60.0      15.0000    42.00  4.917000e+10
2771       277     2    108                0                0      3.0           3.0       29.0       8.0000     3.90  1.051700e+11
2778       278     0    109                0                0      6.0           5.0       50.0      10.0000     5.00  1.960000e+11
2797       181     0     87                1                0      5.0           5.0       35.0       9.0000     4.50  1.000000e+11
2800       279     2      2                0                0      5.0           3.0       34.0      10.0000     3.40  6.471000e+10
2807       280     3    110                0                0      3.0           3.0       40.0      11.0000     3.80  6.950000e+10
2812       281     6     24                0                0      2.0           2.0       20.0       5.0000     4.00  7.000000e+10
2832       282     1     90                0                0      5.0           3.0       34.0       9.0000     4.00  8.824000e+10
2841       283     0      0                0                0      5.0           3.0       28.0       7.0000     3.40  1.035700e+11
2858       284     2    103                0                0      4.0           3.0       50.0      13.8000     4.00  3.400000e+10
2861       285     1     31                0                0      5.0           3.0       35.0      10.0000     3.40  5.714000e+10
